Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec),Correct Answer(s)
"As a field, social psychology focuses on ________ in predicting human behavior.",personality traits,genetic predispositions,biological forces,situational factors,30,Answer 4
Making internal attributions for your successes and external attributions for your failures is an example of ________.,actor-observer bias,fundamental attribution error,self-serving bias,just-world hypothesis,30,Answer 3
Collectivistic cultures are to ________ as individualistic cultures are to ________.,dispositional; situational,situational; dispositional,autonomy; group harmony,just-world hypothesis; self-serving bias,30,Answer 2
"According to the actor-observer bias, we have more information about ________.",situational influences on behavior,influences on our own behavior,influences on others’ behavior,dispositional influences on behavior,30,Answer 2
A(n) ________ is a set of group expectations for appropriate thoughts and behaviors of its members.,social role,social norm,script,attribution,30,Answer 2
"On his first day of soccer practice, Jose suits up in a t-shirt, shorts, and cleats and runs out to the field to join his teammates. Jose’s behavior is reflective of ________.",a script,social influence,good athletic behavior,normative behavior,30,Answer 1
"When it comes to buying clothes, teenagers often follow social norms; this is likely motivated by ________.",following parents’ rules,saving money,fitting in,looking good,30,Answer 3
"In the Stanford prison experiment, even the lead researcher succumbed to his role as a prison supervisor. This is an example of the power of ________ influencing behavior.",scripts,social norms,conformity,social roles,30,Answer 4
"Attitudes describe our ________ of people, objects, and ideas.",treatment,evaluations,cognitions,knowledge,30,Answer 2
Cognitive dissonance causes discomfort because it disrupts our sense of ________.,dependency,unpredictability,consistency,power,30,Answer 3
"In order for the central route to persuasion to be effective, the audience must be ________ and ________.",analytical; motivated,attentive; happy,intelligent; unemotional,gullible; distracted,30,Answer 1
Examples of cues used in peripheral route persuasion include all of the following except ________.,celebrity endorsement,positive emotions,attractive models,factual information,30,Answer 4
"In the Asch experiment, participants conformed due to ________ social influence.",informational,normative,inspirational,persuasive,30,Answer 2
Under what conditions will informational social influence be more likely?,when individuals want to fit in,when the answer is unclear,when the group has expertise,both b and c,30,Answer 4
Social loafing occurs when ________.,individual performance cannot be evaluated,the task is easy,both a and b,none of the above,30,Answer 3
"If group members modify their opinions to align with a perceived group consensus, then ________ has occurred.",group cohesion,social polarization,groupthink,social loafing,30,Answer 3
Prejudice is to ________ as discrimination is to ________.,feelings; behavior,thoughts; feelings,feelings; thoughts,behavior; feelings,30,Answer 1
Which of the following is not a type of prejudice?,homophobia,racism,sexism,individualism,30,Answer 4
________ occurs when the out-group is blamed for the in-group’s frustration.,stereotyping,in-group bias,scapegoating,ageism,30,Answer 3
When we seek out information that supports our stereotypes we are engaged in ________.,scapegoating,confirmation bias,self-fulfilling prophecy,in-group bias,30,Answer 2
"Typically, bullying from boys is to ________ as bullying from girls is to ________.",emotional harm; physical harm,physical harm; emotional harm,psychological harm; physical harm,social exclusion; verbal taunting,30,Answer 2
Which of the following adolescents is least likely to be targeted for bullying?,a child with a physical disability,a transgender adolesc
